Change history report
"May 29, 2026 - June 11, 2026"
Date & time,User,Campaign,Ad group,Changes
"Jun 11, 2026, 11:49:11 AM",signletters@gmail.com,Branded Search | Alphabet Signs,,"6 negative exact match keywords added
  -[letters for bulletin boards]
  -[neon letters]
  -[classroom wall letters]
  -[letters for classroom]
  -[bulletin board letters]
  -[diy letters]"
"Jun 11, 2026, 11:47:48 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"5 exact match keywords added
  [alphabet signs gap]
  [alphabetsigns inc]
  [alphabet signs pa]
  [alphabet signs gap pa]
  [alphabet sign company]"
"Jun 11, 2026, 11:46:28 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword removed
  [alphabet signs inc]"
"Jun 11, 2026, 11:45:21 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 phrase match keyword paused
  ""alphabet sign catalog"": Status changed from enabled to paused"
"Jun 11, 2026, 11:45:14 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 phrase match keyword paused
  ""alphabet sign reviews"": Status changed from enabled to paused"
"Jun 11, 2026, 11:44:49 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword paused
  [abc signs inc]: Status changed from enabled to paused"
"Jun 11, 2026, 11:44:46 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword paused
  [a b c signs]: Status changed from enabled to paused"
"Jun 11, 2026, 11:44:31 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword paused
  [alpha signs]: Status changed from enabled to paused"
"Jun 11, 2026, 11:44:15 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 phrase match keyword paused
  ""alphabet sign letters"": Status changed from enabled to paused"
"Jun 11, 2026, 11:43:57 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 phrase match keyword paused
  ""alphabet signs"": Status changed from enabled to paused"
"Jun 11, 2026, 10:44:12 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""Cast Metal Sign Letters""
1 exact match keyword added
  [Cast Metal Sign Letters]"
"Jun 11, 2026, 10:44:08 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [outdoor wall letters for business]
1 phrase match keyword removed
  ""outdoor wall letters for business"""
"Jun 11, 2026, 10:44:04 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""exterior 3d letters""
1 exact match keyword added
  [exterior 3d letters]"
"Jun 11, 2026, 10:44:01 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""custom building letters""
1 exact match keyword added
  [custom building letters]"
"Jun 11, 2026, 10:43:57 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [acrylic building letters]
1 phrase match keyword removed
  ""acrylic building letters"""
"Jun 11, 2026, 10:43:52 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""business signs for building""
1 exact match keyword added
  [business signs for building]"
"Jun 11, 2026, 10:43:48 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""commercial building numbers""
1 exact match keyword added
  [commercial building numbers]"
"Jun 11, 2026, 10:43:45 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [storefront sign letters]
1 phrase match keyword removed
  ""storefront sign letters"""
"Jun 11, 2026, 10:43:42 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [lobby letters]
1 phrase match keyword removed
  ""lobby letters"""
"Jun 11, 2026, 10:43:37 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""display letters""
1 exact match keyword added
  [display letters]"
"Jun 11, 2026, 10:43:34 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [outdoor building signs for business]
1 phrase match keyword removed
  ""outdoor building signs for business"""
"Jun 11, 2026, 10:43:29 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""cast letters""
1 exact match keyword added
  [cast letters]"
"Jun 11, 2026, 10:43:25 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""pvc letters""
1 exact match keyword added
  [pvc letters]"
"Jun 11, 2026, 10:43:22 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [molded letters]
1 phrase match keyword removed
  ""molded letters"""
"Jun 11, 2026, 10:43:19 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""injection molded letters""
1 exact match keyword added
  [injection molded letters]"
"Jun 11, 2026, 10:43:15 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [minnesota letters]
1 phrase match keyword removed
  ""minnesota letters"""
"Jun 11, 2026, 10:43:10 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [gemini letters]
1 phrase match keyword removed
  ""gemini letters"""
"Jun 11, 2026, 10:43:07 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [3D letters]
1 phrase match keyword removed
  ""3D letters"""
"Jun 11, 2026, 10:43:03 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [sign letters outdoor]
1 phrase match keyword removed
  ""sign letters outdoor"""
"Jun 11, 2026, 10:43:00 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""bronze letters""
1 exact match keyword added
  [bronze letters]"
"Jun 11, 2026, 10:42:57 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [brass letters]
1 phrase match keyword removed
  ""brass letters"""
"Jun 11, 2026, 10:42:53 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [signs for buildings]
1 phrase match keyword removed
  ""signs for buildings"""
"Jun 11, 2026, 10:42:48 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""building sign letters"""
"Jun 11, 2026, 10:42:45 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [plastic building letters]
1 phrase match keyword removed
  ""plastic building letters"""
"Jun 11, 2026, 10:42:40 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [building signage]
1 phrase match keyword removed
  ""building signage"""
"Jun 11, 2026, 10:42:37 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [plastic sign letters]
1 phrase match keyword removed
  ""plastic sign letters"""
"Jun 11, 2026, 10:42:31 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [aluminum letters]
1 phrase match keyword removed
  ""aluminum letters"""
"Jun 11, 2026, 10:42:28 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""acrylic sign letters""
1 exact match keyword added
  [acrylic sign letters]"
"Jun 11, 2026, 10:42:23 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""acrylic letters""
1 phrase match keyword added
  ""acrylic sign letters"""
"Jun 11, 2026, 10:42:07 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword paused
  ""acrylic letters"": Status changed from enabled to paused"
"Jun 11, 2026, 10:42:03 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""business signs for outside""
1 exact match keyword added
  [business signs for outside]"
"Jun 11, 2026, 10:41:57 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [exterior business signs]
1 phrase match keyword removed
  ""exterior business signs"""
"Jun 11, 2026, 10:41:54 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [outdoor sign letters]
1 phrase match keyword removed
  ""outdoor sign letters"""
"Jun 11, 2026, 10:41:51 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [formed plastic letters]
1 phrase match keyword removed
  ""formed plastic letters"""
"Jun 11, 2026, 10:41:39 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""large outdoor signs for business""
1 exact match keyword added
  [large outdoor signs for business]"
"Jun 11, 2026, 10:41:35 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""building address signs""
1 exact match keyword added
  [building address signs]"
"Jun 11, 2026, 10:41:32 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""metal building letters""
1 exact match keyword added
  [metal building letters]"
"Jun 11, 2026, 10:41:28 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [building number signs]
1 phrase match keyword removed
  ""building number signs"""
"Jun 11, 2026, 10:41:23 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword paused
  ""foam letters"": Status changed from enabled to paused"
"Jun 11, 2026, 10:41:16 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword removed
  ""storefront signs""
1 exact match keyword added
  [storefront signs]"
"Jun 11, 2026, 10:41:14 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [metal lettering]
1 phrase match keyword removed
  ""metal lettering"""
"Jun 11, 2026, 10:41:10 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [commercial signage]
1 phrase match keyword removed
  ""commercial signage"""
"Jun 11, 2026, 10:40:53 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [plastic letters]
1 phrase match keyword removed
  ""plastic letters"""
"Jun 11, 2026, 10:40:49 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [store signs]
1 phrase match keyword removed
  ""store signs"""
"Jun 11, 2026, 10:40:44 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [building numbers]
1 phrase match keyword removed
  ""building numbers"""
"Jun 11, 2026, 10:40:41 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [metal letters]
1 phrase match keyword removed
  ""metal letters"""
"Jun 11, 2026, 10:40:37 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 exact match keyword added
  [building letters]
1 phrase match keyword removed
  ""building letters"""
"Jun 11, 2026, 10:40:17 AM",signletters@gmail.com,Building Letters | Search,,"Campaign changed
  CPC bid ceiling micros increased from $2.00 to $4.00
  Target impression share micros changed from 90% to 70%"
"Jun 11, 2026, 7:56:30 AM",signletters@gmail.com,Catch All | PMax | Medium Margin,,"1 budget amount increased
  Catch All | PMax | Medium Margin: Budget amount changed from $66.00 to $81.00"
"Jun 11, 2026, 7:54:50 AM",signletters@gmail.com,Branded Search | Alphabet Signs,,"2 negative exact match keywords added
  -[raised chrome boat letters]
  -[foam cut out letters]"
"Jun 11, 2026, 7:53:58 AM",signletters@gmail.com,BL00 Building Letters | PMax | Core,,"2 negative exact match keywords added
  -[floor sign base for meter boards adjustable clamp]
  -[6 zip sign letters]"
"Jun 11, 2026, 7:52:52 AM",signletters@gmail.com,CL00 | PMax | Marquee Lettering,,"7 negative exact match keywords added
  -[24x30 letter board]
  -[3d plastic letters for signs]
  -[windmaster frame]
  -[brass numbers]
  -[felt letter board large]
  -[4 brass letters]
  -[magic master sign]"
"Jun 11, 2026, 7:51:33 AM",signletters@gmail.com,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword added
  [alphabet letters com]"
"Jun 11, 2026, 7:50:59 AM",signletters@gmail.com,Truck Lettering | PMax | BestSellers,,"12 negative exact match keywords added
  -[pwc registration stickers]
  -[geminimade signs]
  -[church signs outdoor]
  -[vinyl lettering for boats]
  -[alphabet letters com]
  -[letters for outdoor signage]
  -[a frame letter sign]
  -[outdoor marquee sign]
  -[12 address numbers]
  -[acrylic alphabet letters]
  -[acrylic door numbers]
  -[letters for outdoor church signs]"
"Jun 10, 2026, 8:22:12 AM",signletters@gmail.com,BL00 Building Letters | PMax | Core,,"3 asset group hint(s) added
  Parameters is ""plastic letters for signs""
  Type is ""Search theme""
  Criterion ID is 2433193055911
  Parameters is ""letters for signs outdoors""
  Type is ""Search theme""
  Criterion ID is 2487843810935
  Parameters is ""3D building letters""
  Type is ""Search theme""
  Criterion ID is 2487843811095"
"Jun 10, 2026, 7:53:55 AM",signletters@gmail.com,Branded Search | Alphabet Signs,,"1 negative exact match keyword added
  -[cast iron letters]
1 negative broad match keyword added
  -magnetic menu letters]
2 negative phrase match keywords added
  -""menu sign letters""
  -""letters for classroom"""
"Jun 10, 2026, 7:52:04 AM",signletters@gmail.com,CL00 | Search | Marquee Letters,Ad group 1,"5 phrase match keywords added
  ""zip track letters""
  ""letter tracks""
  ""wagner zip change""
  ""zip letters""
  ""marquee letter board"""
"Jun 10, 2026, 7:50:41 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"4 phrase match keywords added
  ""sign letters outdoor""
  ""commercial building numbers""
  ""molded letters""
  ""metal lettering"""
"Jun 10, 2026, 7:49:25 AM",signletters@gmail.com,Building Letters | Search,,"3 negative phrase match keywords added
  -""address plaques for house""
  -""office door signs""
  -""plaques for house"""
"Jun 10, 2026, 7:46:06 AM",signletters@gmail.com,BL00 Building Letters | PMax | Core,,"7 negative phrase match keywords added
  -""trimcap channel letter""
  -""wagner zip change letters""
  -""zip track letters""
  -""marquee letter""
  -""zip letters""
  -""wagner marquee letters""
  -""changeable letter tracks""
2 negative exact match keywords added
  -[wagner sign letters]
  -[sign letter depot]"
"Jun 10, 2026, 7:41:31 AM",signletters@gmail.com,Truck Lettering | PMax | BestSellers,,"5 negative exact match keywords added
  -[metal lettering]
  -[tirestickers com]
  -[sign letters outdoor]
  -[letters for signs]
  -[molded letters]
6 negative phrase match keywords added
  -""mailbox stickers""
  -""a frame signs""
  -""marquee signs""
  -""mailbox number""
  -""headstones""
  -""building numbers"""
"Jun 10, 2026, 7:37:40 AM",signletters@gmail.com,Catch All | PMax | Medium Margin,,"1 budget amount increased
  Catch All | PMax | Medium Margin: Budget amount changed from $50.00 to $66.00"
"Jun 10, 2026, 7:37:19 AM",signletters@gmail.com,Catch All | PMax | Medium Margin,,"Campaign changed
  Target ROAS changed from 210% to 275%"
"Jun 10, 2026, 7:35:38 AM",signletters@gmail.com,Building Letters | Search,,"1 budget amount increased
  Building Letters | Search: Budget amount changed from $150.00 to $170.00"
"Jun 10, 2026, 7:35:20 AM",signletters@gmail.com,Boat Registration Numbers | Shopping | Low AOV,,"1 budget amount increased
  Boat Registration Numbers | Shopping | Low AOV: Budget amount changed from $30.00 to $50.00"
"Jun 10, 2026, 7:34:58 AM",signletters@gmail.com,Boat Registration Numbers | Shopping | Low AOV,,"Campaign changed
  Target roas changed from 300% to 325%"
"Jun 9, 2026, 8:33:56 PM",Recommendations Auto-Apply,Branded Search | Alphabet Signs,Ad group 1,"2 exact match keywords removed
  [alphabetsigns.com]
  [alphabet sign company]"
"Jun 9, 2026, 8:27:03 AM",signletters@gmail.com,Building Letters | Search,,"1 budget amount increased
  Building Letters | Search: Budget amount changed from $75.00 to $150.00"
"Jun 9, 2026, 8:26:06 AM",signletters@gmail.com,Truck Lettering | PMax | BestSellers,,"1 budget amount decreased
  Truck Lettering | PMax | BestSellers: Budget amount changed from $310.00 to $250.00"
"Jun 9, 2026, 8:24:07 AM",signletters@gmail.com,Building Letters | Search,,"Campaign changed
  Campaign bid strategy type changed from ""Maximize clicks"" to ""Target impression share""
  Bid limit was $3.50
  CPC bid ceiling micros is $2.00
  Target impression share micros is 90%"
"Jun 9, 2026, 8:21:35 AM",signletters@gmail.com,CL00 | PMax | Marquee Lettering,,"1 negative exact match keyword added
  -[windmaster sign holders]"
"Jun 9, 2026, 8:19:48 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword paused
  ""building block letters"": Status changed from enabled to paused"
"Jun 9, 2026, 8:18:26 AM",signletters@gmail.com,Building Letters | Search,Building Letters,"1 phrase match keyword enabled
  ""building numbers"": Status changed from paused to enabled"
"Jun 9, 2026, 8:17:59 AM",signletters@gmail.com,Building Letters | Search,,"5 negative exact match keywords added
  -[custom address plaques for house]
  -[yard signs letters]
  -[vistaprint signs]
  -[sign companies in usa]
  -[2 sided signs]"
"Jun 9, 2026, 8:15:58 AM",signletters@gmail.com,Truck Lettering | PMax | BestSellers,,"3 negative exact match keywords added
  -[abc wall letters]
  -[a frame signs]
  -[outdoor building letters]"
"Jun 8, 2026, 8:24:20 PM",Recommendations Auto-Apply,Building Letters | Search,Building Letters,"1 responsive search ad changed
  Description is ""Custom Building Sign Letters & Outdoor Business Signage""
  Final URL is ""https://www.alphabetsigns.com/signs/building-sign-letters.html"""
"Jun 8, 2026, 8:24:17 PM",Recommendations Auto-Apply,Branded Search | Alphabet Signs,Ad group 1,"1 exact match keyword removed
  [abc signs]"
"Jun 8, 2026, 8:03:27 AM",signletters@gmail.com,Truck Lettering | PMax | Low AOV,,"Asset group changed
  Asset group name changed from VL04 & VL07 to VL07 Truck Decals"
