Search keyword report
"May 13, 2026 - June 11, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Cost,Clicks,Impr.,CTR,Avg. CPC,Search lost IS (rank),Final URL,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.,Original conv. value
Enabled,"""sidewalk sign letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,20.77,4,27,14.81%,5.19,53.73%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""portable outdoor signs for businesses""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,0, --,0,> 90%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""removable letter signs""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,6.28,2,14,14.29%,3.14,77.50%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""replacement marquee sign letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,2,0.00%,0,80.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""suction cup letter changer""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,3,0.00%,0,63.64%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""menu board with changeable letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,1,0.00%,0,83.33%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""changeable advertising signs""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Not eligible,rarely served,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""change pole arms""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Not eligible,rarely served,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""replacement marquee letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,11.25,4,66,6.06%,2.81,66.40%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""directory board letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,2.98,1,8,12.50%,2.98,57.14%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""zip letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,1,0.00%,0,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""rigid marquee letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,2,0.00%,0,75.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""zip change letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,5.92,3,15,20.00%,1.97,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""flexible marquee letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,12,0.00%,0,41.67%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""changeable copy sign""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,1,0.00%,0,71.43%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""sign letter track""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,21.56,5,51,9.80%,4.31,56.67%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""gemini changeable letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,17.14,2,22,9.09%,8.57,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""pronto sign letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,8.86,3,31,9.68%,2.95,34.78%,,0.00%,0.00,0.00,0.00,0.00,0.00
